Class Name,Inherited Attributes,Unused Attributes,Used Attributes Percentage,Inherited Methods,Unused Methods,Used Methods Percentage
proguard.classfile.attribute.preverification.MoreZeroFrame, 9.0, 9.0, 0.0, 8.0, 8.0, 0.0, 
proguard.classfile.attribute.preverification.NullType, 10.0, 10.0, 0.0, 8.0, 8.0, 0.0, 
proguard.classfile.attribute.preverification.ObjectType, 10.0, 10.0, 0.0, 8.0, 8.0, 0.0, 
proguard.classfile.attribute.preverification.SameOneFrame, 9.0, 9.0, 0.0, 8.0, 7.0, 12.5, 
proguard.classfile.attribute.preverification.SameZeroFrame, 9.0, 9.0, 0.0, 8.0, 7.0, 12.5, 
proguard.classfile.attribute.preverification.StackMapAttribute, 2.0, 2.0, 0.0, 4.0, 4.0, 0.0, 
proguard.classfile.attribute.preverification.StackMapFrame, 0.0, 0.0, NaN, 2.0, 2.0, 0.0, 
proguard.classfile.attribute.preverification.StackMapTableAttribute, 2.0, 2.0, 0.0, 4.0, 4.0, 0.0, 
proguard.classfile.attribute.preverification.TopType, 10.0, 10.0, 0.0, 8.0, 8.0, 0.0, 
proguard.classfile.attribute.preverification.UninitializedThisType, 10.0, 10.0, 0.0, 8.0, 8.0, 0.0, 
proguard.classfile.attribute.preverification.UninitializedType, 10.0, 10.0, 0.0, 8.0, 8.0, 0.0, 
proguard.classfile.attribute.preverification.VerificationType, 0.0, 0.0, NaN, 2.0, 2.0, 0.0, 
proguard.classfile.attribute.preverification.VerificationTypeFactory, 0.0, 0.0, NaN, 0.0, 0.0, NaN, 
proguard.classfile.attribute.preverification.visitor.StackMapFrameVisitor, 0.0, 0.0, NaN, 0.0, 0.0, NaN, 
proguard.classfile.attribute.preverification.visitor.VerificationTypeVisitor, 0.0, 0.0, NaN, 0.0, 0.0, NaN, 
proguard.classfile.attribute.visitor.AllAttributeVisitor, 0.0, 0.0, NaN, 142.0, 142.0, 0.0, 
proguard.classfile.attribute.visitor.AllBootstrapMethodInfoVisitor, 0.0, 0.0, NaN, 142.0, 142.0, 0.0, 
proguard.classfile.attribute.visitor.AllExceptionInfoVisitor, 0.0, 0.0, NaN, 142.0, 142.0, 0.0, 
proguard.classfile.attribute.visitor.AllInnerClassesInfoVisitor, 0.0, 0.0, NaN, 142.0, 142.0, 0.0, 
proguard.classfile.attribute.visitor.AllLineNumberInfoVisitor, 0.0, 0.0, NaN, 142.0, 142.0, 0.0, 
proguard.classfile.attribute.visitor.AttributeCounter, 0.0, 0.0, NaN, 143.0, 142.0, 0.6993006993006929, 
proguard.classfile.attribute.visitor.AttributeNameFilter, 0.0, 0.0, NaN, 28.0, 28.0, 0.0, 
proguard.classfile.attribute.visitor.AttributeToClassVisitor, 0.0, 0.0, NaN, 142.0, 142.0, 0.0, 
proguard.classfile.attribute.visitor.AttributeVisitor, 0.0, 0.0, NaN, 0.0, 0.0, NaN, 
proguard.classfile.attribute.visitor.BootstrapMethodInfoVisitor, 0.0, 0.0, NaN, 0.0, 0.0, NaN, 
proguard.classfile.attribute.visitor.DebugAttributeVisitor, 0.0, 0.0, NaN, 28.0, 28.0, 0.0, 
proguard.classfile.attribute.visitor.ExceptionInfoVisitor, 0.0, 0.0, NaN, 0.0, 0.0, NaN, 
proguard.classfile.attribute.visitor.InnerClassesInfoVisitor, 0.0, 0.0, NaN, 0.0, 0.0, NaN, 
proguard.classfile.attribute.visitor.InstructionToAttributeVisitor, 0.0, 0.0, NaN, 142.0, 142.0, 0.0, 
proguard.classfile.attribute.visitor.LineNumberInfoVisitor, 0.0, 0.0, NaN, 0.0, 0.0, NaN, 
proguard.classfile.attribute.visitor.LineNumberRangeFinder, 0.0, 0.0, NaN, 1.0, 1.0, 0.0, 
proguard.classfile.attribute.visitor.LocalVariableInfoVisitor, 0.0, 0.0, NaN, 0.0, 0.0, NaN, 
proguard.classfile.attribute.visitor.LocalVariableTypeInfoVisitor, 0.0, 0.0, NaN, 0.0, 0.0, NaN, 
proguard.classfile.attribute.visitor.MultiAttributeVisitor, 0.0, 0.0, NaN, 28.0, 28.0, 0.0, 
proguard.classfile.attribute.visitor.NonEmptyAttributeFilter, 0.0, 0.0, NaN, 28.0, 28.0, 0.0, 
proguard.classfile.attribute.visitor.ParameterInfoVisitor, 0.0, 0.0, NaN, 0.0, 0.0, NaN, 
