Class Name,Inherited Attributes,Unused Attributes,Used Attributes Percentage,Inherited Methods,Unused Methods,Used Methods Percentage
proguard.classfile.attribute.EnclosingMethodAttribute, 2.0, 2.0, 0.0, 4.0, 4.0, 0.0, 
proguard.classfile.attribute.ExceptionInfo, 0.0, 0.0, NaN, 2.0, 2.0, 0.0, 
proguard.classfile.attribute.ExceptionsAttribute, 2.0, 2.0, 0.0, 4.0, 4.0, 0.0, 
proguard.classfile.attribute.ExtendedLineNumberInfo, 2.0, 2.0, 0.0, 1.0, 1.0, 0.0, 
proguard.classfile.attribute.InnerClassesAttribute, 2.0, 2.0, 0.0, 4.0, 4.0, 0.0, 
proguard.classfile.attribute.InnerClassesInfo, 0.0, 0.0, NaN, 2.0, 2.0, 0.0, 
proguard.classfile.attribute.LineNumberInfo, 0.0, 0.0, NaN, 0.0, 0.0, NaN, 
proguard.classfile.attribute.LineNumberTableAttribute, 2.0, 2.0, 0.0, 4.0, 3.0, 25.0, 
proguard.classfile.attribute.LocalVariableInfo, 0.0, 0.0, NaN, 2.0, 2.0, 0.0, 
proguard.classfile.attribute.LocalVariableTableAttribute, 2.0, 2.0, 0.0, 4.0, 4.0, 0.0, 
proguard.classfile.attribute.LocalVariableTypeInfo, 0.0, 0.0, NaN, 2.0, 2.0, 0.0, 
proguard.classfile.attribute.LocalVariableTypeTableAttribute, 2.0, 2.0, 0.0, 4.0, 4.0, 0.0, 
proguard.classfile.attribute.MethodParametersAttribute, 2.0, 2.0, 0.0, 4.0, 4.0, 0.0, 
proguard.classfile.attribute.ParameterInfo, 0.0, 0.0, NaN, 2.0, 2.0, 0.0, 
proguard.classfile.attribute.SignatureAttribute, 2.0, 2.0, 0.0, 4.0, 4.0, 0.0, 
proguard.classfile.attribute.SourceDirAttribute, 2.0, 2.0, 0.0, 4.0, 4.0, 0.0, 
proguard.classfile.attribute.SourceFileAttribute, 2.0, 2.0, 0.0, 4.0, 4.0, 0.0, 
proguard.classfile.attribute.SyntheticAttribute, 2.0, 2.0, 0.0, 4.0, 4.0, 0.0, 
proguard.classfile.attribute.UnknownAttribute, 2.0, 2.0, 0.0, 4.0, 3.0, 25.0, 
proguard.classfile.attribute.annotation.Annotation, 0.0, 0.0, NaN, 2.0, 2.0, 0.0, 
proguard.classfile.attribute.annotation.AnnotationDefaultAttribute, 2.0, 2.0, 0.0, 4.0, 4.0, 0.0, 
proguard.classfile.attribute.annotation.AnnotationElementValue, 4.0, 4.0, 0.0, 6.0, 5.0, 16.66666666666667, 
proguard.classfile.attribute.annotation.AnnotationsAttribute, 2.0, 2.0, 0.0, 4.0, 4.0, 0.0, 
proguard.classfile.attribute.annotation.ArrayElementValue, 4.0, 4.0, 0.0, 6.0, 5.0, 16.66666666666667, 
proguard.classfile.attribute.annotation.ClassElementValue, 4.0, 3.0, 25.0, 6.0, 5.0, 16.66666666666667, 
proguard.classfile.attribute.annotation.ConstantElementValue, 4.0, 4.0, 0.0, 6.0, 5.0, 16.66666666666667, 
proguard.classfile.attribute.annotation.ElementValue, 0.0, 0.0, NaN, 2.0, 2.0, 0.0, 
proguard.classfile.attribute.annotation.EnumConstantElementValue, 4.0, 3.0, 25.0, 6.0, 5.0, 16.66666666666667, 
proguard.classfile.attribute.annotation.ParameterAnnotationsAttribute, 2.0, 2.0, 0.0, 4.0, 4.0, 0.0, 
proguard.classfile.attribute.annotation.RuntimeInvisibleAnnotationsAttribute, 4.0, 4.0, 0.0, 5.0, 4.0, 20.0, 
proguard.classfile.attribute.annotation.RuntimeInvisibleParameterAnnotationsAttribute, 5.0, 5.0, 0.0, 5.0, 4.0, 20.0, 
proguard.classfile.attribute.annotation.RuntimeInvisibleTypeAnnotationsAttribute, 4.0, 4.0, 0.0, 6.0, 4.0, 33.33333333333333, 
proguard.classfile.attribute.annotation.RuntimeVisibleAnnotationsAttribute, 4.0, 4.0, 0.0, 5.0, 4.0, 20.0, 
