Class Name,Inherited Attributes,Unused Attributes,Used Attributes Percentage,Inherited Methods,Unused Methods,Used Methods Percentage
proguard.ArgumentWordReader, 8.0, 8.0, 0.0, 11.0, 11.0, 0.0, 
proguard.ClassPath, 0.0, 0.0, NaN, 0.0, 0.0, NaN, 
proguard.ClassPathEntry, 0.0, 0.0, NaN, 0.0, 0.0, NaN, 
proguard.ClassSpecification, 0.0, 0.0, NaN, 0.0, 0.0, NaN, 
proguard.ClassSpecificationVisitorFactory, 0.0, 0.0, NaN, 0.0, 0.0, NaN, 
proguard.Configuration, 0.0, 0.0, NaN, 0.0, 0.0, NaN, 
proguard.ConfigurationConstants, 0.0, 0.0, NaN, 0.0, 0.0, NaN, 
proguard.ConfigurationParser, 0.0, 0.0, NaN, 0.0, 0.0, NaN, 
proguard.ConfigurationWriter, 0.0, 0.0, NaN, 0.0, 0.0, NaN, 
proguard.DataEntryReaderFactory, 0.0, 0.0, NaN, 0.0, 0.0, NaN, 
proguard.DataEntryWriterFactory, 0.0, 0.0, NaN, 0.0, 0.0, NaN, 
proguard.DescriptorKeepChecker, 0.0, 0.0, NaN, 97.0, 97.0, 0.0, 
proguard.DuplicateClassPrinter, 0.0, 0.0, NaN, 2.0, 2.0, 0.0, 
proguard.FileWordReader, 8.0, 8.0, 0.0, 11.0, 11.0, 0.0, 
proguard.FullyQualifiedClassNameChecker, 0.0, 0.0, NaN, 97.0, 97.0, 0.0, 
proguard.GPL, 0.0, 0.0, NaN, 0.0, 0.0, NaN, 
proguard.Initializer, 0.0, 0.0, NaN, 0.0, 0.0, NaN, 
proguard.InputReader, 0.0, 0.0, NaN, 0.0, 0.0, NaN, 
proguard.KeepSpecification, 9.0, 9.0, 0.0, 5.0, 4.0, 20.0, 
proguard.MemberSpecification, 0.0, 0.0, NaN, 0.0, 0.0, NaN, 
proguard.OutputWriter, 0.0, 0.0, NaN, 0.0, 0.0, NaN, 
proguard.ParseException, 0.0, 0.0, NaN, 0.0, 0.0, NaN, 
proguard.ProGuard, 0.0, 0.0, NaN, 0.0, 0.0, NaN, 
proguard.SubclassedClassFilter, 0.0, 0.0, NaN, 2.0, 2.0, 0.0, 
proguard.Targeter, 0.0, 0.0, NaN, 0.0, 0.0, NaN, 
proguard.UpToDateChecker, 0.0, 0.0, NaN, 0.0, 0.0, NaN, 
proguard.WordReader, 0.0, 0.0, NaN, 0.0, 0.0, NaN, 
proguard.ant.ClassPathElement, 0.0, 0.0, NaN, 0.0, 0.0, NaN, 
proguard.ant.ClassSpecificationElement, 0.0, 0.0, NaN, 0.0, 0.0, NaN, 
proguard.ant.ConfigurationElement, 0.0, 0.0, NaN, 0.0, 0.0, NaN, 
proguard.ant.ConfigurationTask, 0.0, 0.0, NaN, 0.0, 0.0, NaN, 
proguard.ant.FilterElement, 0.0, 0.0, NaN, 0.0, 0.0, NaN, 
proguard.ant.KeepAttributeElement, 0.0, 0.0, NaN, 0.0, 0.0, NaN, 
proguard.ant.KeepSpecificationElement, 9.0, 9.0, 0.0, 13.0, 11.0, 15.384615384615387, 
proguard.ant.MemberSpecificationElement, 0.0, 0.0, NaN, 0.0, 0.0, NaN, 
proguard.ant.ProGuardTask, 1.0, 1.0, 0.0, 23.0, 23.0, 0.0, 
proguard.classfile.ClassConstants, 0.0, 0.0, NaN, 0.0, 0.0, NaN, 
proguard.classfile.ClassPool, 0.0, 0.0, NaN, 0.0, 0.0, NaN, 
proguard.classfile.Clazz, 0.0, 0.0, NaN, 2.0, 0.0, 100.0, 
proguard.classfile.Field, 0.0, 0.0, NaN, 7.0, 4.0, 42.857142857142854, 
proguard.classfile.LibraryClass, 0.0, 0.0, NaN, 30.0, 17.0, 43.333333333333336, 
proguard.classfile.LibraryField, 5.0, 5.0, 0.0, 7.0, 4.0, 42.857142857142854, 
proguard.classfile.LibraryMember, 0.0, 0.0, NaN, 7.0, 5.0, 28.57142857142857, 
proguard.classfile.LibraryMethod, 5.0, 5.0, 0.0, 7.0, 4.0, 42.857142857142854, 
proguard.classfile.Member, 0.0, 0.0, NaN, 2.0, 0.0, 100.0, 
proguard.classfile.Method, 0.0, 0.0, NaN, 7.0, 3.0, 57.142857142857146, 
proguard.classfile.ProgramClass, 0.0, 0.0, NaN, 30.0, 10.0, 66.66666666666666, 
proguard.classfile.ProgramField, 6.0, 6.0, 0.0, 10.0, 5.0, 50.0, 
proguard.classfile.ProgramMember, 0.0, 0.0, NaN, 7.0, 3.0, 57.142857142857146, 
proguard.classfile.ProgramMethod, 6.0, 6.0, 0.0, 10.0, 5.0, 50.0, 
proguard.classfile.VisitorAccepter, 0.0, 0.0, NaN, 0.0, 0.0, NaN, 
proguard.classfile.attribute.Attribute, 0.0, 0.0, NaN, 2.0, 2.0, 0.0, 
proguard.classfile.attribute.CodeAttribute, 2.0, 2.0, 0.0, 4.0, 3.0, 25.0, 
proguard.classfile.attribute.ConstantValueAttribute, 2.0, 2.0, 0.0, 4.0, 3.0, 25.0, 
proguard.classfile.attribute.DeprecatedAttribute, 2.0, 2.0, 0.0, 4.0, 3.0, 25.0, 
proguard.classfile.attribute.EnclosingMethodAttribute, 2.0, 2.0, 0.0, 4.0, 3.0, 25.0, 
proguard.classfile.attribute.ExceptionInfo, 0.0, 0.0, NaN, 2.0, 2.0, 0.0, 
proguard.classfile.attribute.ExceptionsAttribute, 2.0, 2.0, 0.0, 4.0, 3.0, 25.0, 
proguard.classfile.attribute.InnerClassesAttribute, 2.0, 2.0, 0.0, 4.0, 3.0, 25.0, 
proguard.classfile.attribute.InnerClassesInfo, 0.0, 0.0, NaN, 2.0, 2.0, 0.0, 
proguard.classfile.attribute.LineNumberInfo, 0.0, 0.0, NaN, 0.0, 0.0, NaN, 
proguard.classfile.attribute.LineNumberTableAttribute, 2.0, 2.0, 0.0, 4.0, 3.0, 25.0, 
proguard.classfile.attribute.LocalVariableInfo, 0.0, 0.0, NaN, 0.0, 0.0, NaN, 
proguard.classfile.attribute.LocalVariableTableAttribute, 2.0, 2.0, 0.0, 4.0, 3.0, 25.0, 
proguard.classfile.attribute.LocalVariableTypeInfo, 0.0, 0.0, NaN, 0.0, 0.0, NaN, 
proguard.classfile.attribute.LocalVariableTypeTableAttribute, 2.0, 2.0, 0.0, 4.0, 3.0, 25.0, 
proguard.classfile.attribute.SignatureAttribute, 2.0, 2.0, 0.0, 4.0, 3.0, 25.0, 
proguard.classfile.attribute.SourceDirAttribute, 2.0, 2.0, 0.0, 4.0, 3.0, 25.0, 
proguard.classfile.attribute.SourceFileAttribute, 2.0, 2.0, 0.0, 4.0, 3.0, 25.0, 
proguard.classfile.attribute.SyntheticAttribute, 2.0, 2.0, 0.0, 4.0, 3.0, 25.0, 
proguard.classfile.attribute.UnknownAttribute, 2.0, 2.0, 0.0, 4.0, 3.0, 25.0, 
proguard.classfile.attribute.annotation.Annotation, 0.0, 0.0, NaN, 2.0, 2.0, 0.0, 
proguard.classfile.attribute.annotation.AnnotationDefaultAttribute, 2.0, 2.0, 0.0, 4.0, 3.0, 25.0, 
proguard.classfile.attribute.annotation.AnnotationElementValue, 4.0, 4.0, 0.0, 6.0, 6.0, 0.0, 
proguard.classfile.attribute.annotation.AnnotationsAttribute, 2.0, 2.0, 0.0, 4.0, 4.0, 0.0, 
proguard.classfile.attribute.annotation.ArrayElementValue, 4.0, 4.0, 0.0, 6.0, 6.0, 0.0, 
proguard.classfile.attribute.annotation.ClassElementValue, 4.0, 3.0, 25.0, 6.0, 6.0, 0.0, 
proguard.classfile.attribute.annotation.ConstantElementValue, 4.0, 4.0, 0.0, 6.0, 6.0, 0.0, 
proguard.classfile.attribute.annotation.ElementValue, 0.0, 0.0, NaN, 2.0, 2.0, 0.0, 
