Class Name,Inherited Attributes,Unused Attributes,Used Attributes Percentage,Inherited Methods,Unused Methods,Used Methods Percentage
soc.message.SOCChoosePlayerRequest, 97.0, 97.0, 0.0, 12.0, 10.0, 16.66666666666667, 
soc.message.SOCClearOffer, 97.0, 97.0, 0.0, 12.0, 10.0, 16.66666666666667, 
soc.message.SOCClearTradeMsg, 97.0, 97.0, 0.0, 12.0, 10.0, 16.66666666666667, 
soc.message.SOCCreateAccount, 97.0, 97.0, 0.0, 11.0, 10.0, 9.090909090909093, 
soc.message.SOCDebugFreePlace, 97.0, 97.0, 0.0, 12.0, 10.0, 16.66666666666667, 
soc.message.SOCDeleteChannel, 97.0, 97.0, 0.0, 11.0, 10.0, 9.090909090909093, 
soc.message.SOCDeleteGame, 97.0, 97.0, 0.0, 12.0, 10.0, 16.66666666666667, 
soc.message.SOCDevCard, 97.0, 97.0, 0.0, 12.0, 10.0, 16.66666666666667, 
soc.message.SOCDevCardCount, 97.0, 97.0, 0.0, 12.0, 10.0, 16.66666666666667, 
soc.message.SOCDiceResult, 99.0, 99.0, 0.0, 13.0, 11.0, 15.384615384615387, 
soc.message.SOCDiscard, 97.0, 97.0, 0.0, 12.0, 10.0, 16.66666666666667, 
soc.message.SOCDiscardRequest, 97.0, 97.0, 0.0, 12.0, 10.0, 16.66666666666667, 
soc.message.SOCDiscoveryPick, 97.0, 97.0, 0.0, 12.0, 10.0, 16.66666666666667, 
soc.message.SOCEndTurn, 97.0, 97.0, 0.0, 12.0, 10.0, 16.66666666666667, 
soc.message.SOCFirstPlayer, 97.0, 97.0, 0.0, 12.0, 10.0, 16.66666666666667, 
soc.message.SOCGameMembers, 97.0, 97.0, 0.0, 12.0, 9.0, 25.0, 
soc.message.SOCGameOptionGetDefaults, 97.0, 97.0, 0.0, 11.0, 10.0, 9.090909090909093, 
soc.message.SOCGameOptionGetInfos, 97.0, 97.0, 0.0, 11.0, 9.0, 18.181818181818187, 
soc.message.SOCGameOptionInfo, 99.0, 99.0, 0.0, 13.0, 13.0, 0.0, 
soc.message.SOCGameState, 97.0, 97.0, 0.0, 12.0, 10.0, 16.66666666666667, 
soc.message.SOCGameStats, 97.0, 97.0, 0.0, 12.0, 10.0, 16.66666666666667, 
soc.message.SOCGameTextMsg, 97.0, 97.0, 0.0, 12.0, 10.0, 16.66666666666667, 
soc.message.SOCGames, 97.0, 97.0, 0.0, 11.0, 9.0, 18.181818181818187, 
soc.message.SOCGamesWithOptions, 99.0, 99.0, 0.0, 13.0, 12.0, 7.692307692307693, 
soc.message.SOCImARobot, 97.0, 97.0, 0.0, 11.0, 10.0, 9.090909090909093, 
soc.message.SOCJoin, 97.0, 97.0, 0.0, 11.0, 10.0, 9.090909090909093, 
