Class Name,Inherited Attributes,Unused Attributes,Used Attributes Percentage,Inherited Methods,Unused Methods,Used Methods Percentage
com.alibaba.dubbo.callback.explicit.test.CallbackTest, 0.0, 0.0, NaN, 0.0, 0.0, NaN, 
com.alibaba.dubbo.callback.explicit.test.Client, 0.0, 0.0, NaN, 0.0, 0.0, NaN, 
com.alibaba.dubbo.callback.explicit.test.DemoServiceImpl, 0.0, 0.0, NaN, 4.0, 4.0, 0.0, 
com.alibaba.dubbo.callback.explicit.test.IDemoCallback, 0.0, 0.0, NaN, 0.0, 0.0, NaN, 
com.alibaba.dubbo.callback.explicit.test.IDemoService, 0.0, 0.0, NaN, 0.0, 0.0, NaN, 
com.alibaba.dubbo.callback.explicit.test.Server, 0.0, 0.0, NaN, 0.0, 0.0, NaN, 
com.alibaba.dubbo.callback.implicit.test.CallbackTest, 0.0, 0.0, NaN, 0.0, 0.0, NaN, 
com.alibaba.dubbo.callback.implicit.test.ExceptionDemoExService, 0.0, 0.0, NaN, 1.0, 1.0, 0.0, 
com.alibaba.dubbo.callback.implicit.test.IDemoService, 0.0, 0.0, NaN, 0.0, 0.0, NaN, 
com.alibaba.dubbo.callback.implicit.test.Nofify, 0.0, 0.0, NaN, 0.0, 0.0, NaN, 
com.alibaba.dubbo.callback.implicit.test.NofifyImpl, 0.0, 0.0, NaN, 2.0, 2.0, 0.0, 
com.alibaba.dubbo.callback.implicit.test.NormalDemoService, 0.0, 0.0, NaN, 1.0, 1.0, 0.0, 
com.alibaba.dubbo.callback.implicit.test.Person, 0.0, 0.0, NaN, 0.0, 0.0, NaN, 
com.alibaba.dubbo.common.Constants, 0.0, 0.0, NaN, 0.0, 0.0, NaN, 
com.alibaba.dubbo.common.ExtensionLoader, 0.0, 0.0, NaN, 0.0, 0.0, NaN, 
com.alibaba.dubbo.common.MixinTest, 0.0, 0.0, NaN, 0.0, 0.0, NaN, 
com.alibaba.dubbo.common.Node, 0.0, 0.0, NaN, 0.0, 0.0, NaN, 
com.alibaba.dubbo.common.ProxyTest, 0.0, 0.0, NaN, 0.0, 0.0, NaN, 
com.alibaba.dubbo.common.URL, 0.0, 0.0, NaN, 0.0, 0.0, NaN, 
com.alibaba.dubbo.common.URLTest, 0.0, 0.0, NaN, 0.0, 0.0, NaN, 
com.alibaba.dubbo.common.Version, 0.0, 0.0, NaN, 0.0, 0.0, NaN, 
com.alibaba.dubbo.common.WrapperTest, 0.0, 0.0, NaN, 0.0, 0.0, NaN, 
com.alibaba.dubbo.common.bytecode.Bean, 0.0, 0.0, NaN, 0.0, 0.0, NaN, 
com.alibaba.dubbo.common.bytecode.Builder, 0.0, 0.0, NaN, 0.0, 0.0, NaN, 
com.alibaba.dubbo.common.bytecode.ClassGenerator, 0.0, 0.0, NaN, 0.0, 0.0, NaN, 
com.alibaba.dubbo.common.bytecode.ClassGeneratorTest, 0.0, 0.0, NaN, 0.0, 0.0, NaN, 
com.alibaba.dubbo.common.bytecode.Mixin, 0.0, 0.0, NaN, 0.0, 0.0, NaN, 
com.alibaba.dubbo.common.bytecode.NoSuchMethodException, 0.0, 0.0, NaN, 0.0, 0.0, NaN, 
com.alibaba.dubbo.common.bytecode.NoSuchPropertyException, 0.0, 0.0, NaN, 0.0, 0.0, NaN, 
com.alibaba.dubbo.common.bytecode.Proxy, 0.0, 0.0, NaN, 0.0, 0.0, NaN, 
com.alibaba.dubbo.common.bytecode.Wrapper, 0.0, 0.0, NaN, 0.0, 0.0, NaN, 
com.alibaba.dubbo.common.extensionloader.ExtensionLoaderTest, 0.0, 0.0, NaN, 0.0, 0.0, NaN, 
com.alibaba.dubbo.common.extensionloader.ext1.Ext1, 0.0, 0.0, NaN, 0.0, 0.0, NaN, 
com.alibaba.dubbo.common.extensionloader.ext1.impl.Ext1Impl1, 0.0, 0.0, NaN, 3.0, 3.0, 0.0, 
com.alibaba.dubbo.common.extensionloader.ext1.impl.Ext1Impl2, 0.0, 0.0, NaN, 3.0, 3.0, 0.0, 
com.alibaba.dubbo.common.extensionloader.ext1.impl.Ext1Impl3, 0.0, 0.0, NaN, 3.0, 3.0, 0.0, 
com.alibaba.dubbo.common.extensionloader.ext2.Ext2, 0.0, 0.0, NaN, 0.0, 0.0, NaN, 
com.alibaba.dubbo.common.extensionloader.ext2.UrlHolder, 0.0, 0.0, NaN, 0.0, 0.0, NaN, 
com.alibaba.dubbo.common.extensionloader.ext2.impl.Ext2Impl1, 0.0, 0.0, NaN, 3.0, 3.0, 0.0, 
com.alibaba.dubbo.common.extensionloader.ext2.impl.Ext2Impl2, 0.0, 0.0, NaN, 3.0, 3.0, 0.0, 
com.alibaba.dubbo.common.extensionloader.ext2.impl.Ext2Impl3, 0.0, 0.0, NaN, 3.0, 3.0, 0.0, 
com.alibaba.dubbo.common.extensionloader.ext3.Ext3, 0.0, 0.0, NaN, 0.0, 0.0, NaN, 
com.alibaba.dubbo.common.extensionloader.ext3.impl.Ext3Impl1, 0.0, 0.0, NaN, 3.0, 3.0, 0.0, 
com.alibaba.dubbo.common.extensionloader.ext3.impl.Ext3Impl2, 0.0, 0.0, NaN, 3.0, 3.0, 0.0, 
com.alibaba.dubbo.common.extensionloader.ext3.impl.Ext3Impl3, 0.0, 0.0, NaN, 3.0, 3.0, 0.0, 
com.alibaba.dubbo.common.extensionloader.ext4.Ext4, 0.0, 0.0, NaN, 0.0, 0.0, NaN, 
com.alibaba.dubbo.common.extensionloader.ext4.impl.Ext4Impl1, 0.0, 0.0, NaN, 1.0, 1.0, 0.0, 
com.alibaba.dubbo.common.extensionloader.ext4.impl.Ext4Impl2, 0.0, 0.0, NaN, 1.0, 1.0, 0.0, 
com.alibaba.dubbo.common.extensionloader.ext5.Ext5NoAdaptiveMethod, 0.0, 0.0, NaN, 0.0, 0.0, NaN, 
com.alibaba.dubbo.common.extensionloader.ext5.impl.Ext5AutoProxy1, 0.0, 0.0, NaN, 3.0, 3.0, 0.0, 
com.alibaba.dubbo.common.extensionloader.ext5.impl.Ext5AutoProxy2, 0.0, 0.0, NaN, 3.0, 3.0, 0.0, 
com.alibaba.dubbo.common.extensionloader.ext5.impl.Ext5Impl1, 0.0, 0.0, NaN, 3.0, 3.0, 0.0, 
com.alibaba.dubbo.common.extensionloader.ext5.impl.Ext5Impl2, 0.0, 0.0, NaN, 3.0, 3.0, 0.0, 
com.alibaba.dubbo.common.extensionloader.ext6_inject.Ext6, 0.0, 0.0, NaN, 0.0, 0.0, NaN, 
com.alibaba.dubbo.common.extensionloader.ext6_inject.impl.Ext6Impl1, 0.0, 0.0, NaN, 1.0, 1.0, 0.0, 
com.alibaba.dubbo.common.extensionloader.ext6_inject.impl.Ext6Impl2, 0.0, 0.0, NaN, 1.0, 1.0, 0.0, 
com.alibaba.dubbo.common.io.Bytes, 0.0, 0.0, NaN, 0.0, 0.0, NaN, 
com.alibaba.dubbo.common.io.BytesTest, 0.0, 0.0, NaN, 0.0, 0.0, NaN, 
com.alibaba.dubbo.common.io.ClassDescriptorMapper, 0.0, 0.0, NaN, 0.0, 0.0, NaN, 
com.alibaba.dubbo.common.io.StreamUtils, 0.0, 0.0, NaN, 0.0, 0.0, NaN, 
com.alibaba.dubbo.common.io.StreamUtilsTest, 0.0, 0.0, NaN, 0.0, 0.0, NaN, 
com.alibaba.dubbo.common.io.UnsafeByteArrayInputStream, 0.0, 0.0, NaN, 0.0, 0.0, NaN, 
com.alibaba.dubbo.common.io.UnsafeByteArrayOutputStream, 0.0, 0.0, NaN, 0.0, 0.0, NaN, 
com.alibaba.dubbo.common.io.UnsafeStringReader, 0.0, 0.0, NaN, 0.0, 0.0, NaN, 
com.alibaba.dubbo.common.io.UnsafeStringWriter, 0.0, 0.0, NaN, 0.0, 0.0, NaN, 
com.alibaba.dubbo.common.json.GenericJSONConverter, 0.0, 0.0, NaN, 2.0, 1.0, 50.0, 
com.alibaba.dubbo.common.json.J2oVisitor, 1.0, 0.0, 100.0, 10.0, 10.0, 0.0, 
com.alibaba.dubbo.common.json.JSON, 0.0, 0.0, NaN, 0.0, 0.0, NaN, 
com.alibaba.dubbo.common.json.JSONArray, 0.0, 0.0, NaN, 1.0, 1.0, 0.0, 
