Class Name,Inherited Attributes,Unused Attributes,Used Attributes Percentage,Inherited Methods,Unused Methods,Used Methods Percentage
com.alibaba.AppTest, 0.0, 0.0, NaN, 0.0, 0.0, NaN, 
com.alibaba.StringSplitTest, 0.0, 0.0, NaN, 0.0, 0.0, NaN, 
com.alibaba.com.caucho.hessian.HessianException, 0.0, 0.0, NaN, 0.0, 0.0, NaN, 
com.alibaba.com.caucho.hessian.io.AbstractDeserializer, 0.0, 0.0, NaN, 5.0, 2.0, 60.0, 
com.alibaba.com.caucho.hessian.io.AbstractHessianInput, 0.0, 0.0, NaN, 0.0, 0.0, NaN, 
com.alibaba.com.caucho.hessian.io.AbstractHessianOutput, 0.0, 0.0, NaN, 0.0, 0.0, NaN, 
com.alibaba.com.caucho.hessian.io.AbstractHessianResolver, 0.0, 0.0, NaN, 1.0, 1.0, 0.0, 
com.alibaba.com.caucho.hessian.io.AbstractListDeserializer, 0.0, 0.0, NaN, 8.0, 7.0, 12.5, 
com.alibaba.com.caucho.hessian.io.AbstractMapDeserializer, 0.0, 0.0, NaN, 8.0, 7.0, 12.5, 
com.alibaba.com.caucho.hessian.io.AbstractSerializer, 0.0, 0.0, NaN, 1.0, 1.0, 0.0, 
com.alibaba.com.caucho.hessian.io.AbstractSerializerFactory, 0.0, 0.0, NaN, 0.0, 0.0, NaN, 
com.alibaba.com.caucho.hessian.io.ArrayDeserializer, 0.0, 0.0, NaN, 8.0, 8.0, 0.0, 
com.alibaba.com.caucho.hessian.io.ArraySerializer, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 
com.alibaba.com.caucho.hessian.io.BasicDeserializer, 0.0, 0.0, NaN, 8.0, 6.0, 25.0, 
com.alibaba.com.caucho.hessian.io.BasicSerializer, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 
com.alibaba.com.caucho.hessian.io.BeanDeserializer, 0.0, 0.0, NaN, 8.0, 7.0, 12.5, 
com.alibaba.com.caucho.hessian.io.BeanSerializer, 1.0, 0.0, 100.0, 1.0, 1.0, 0.0, 
com.alibaba.com.caucho.hessian.io.BeanSerializerFactory, 16.0, 16.0, 0.0, 18.0, 17.0, 5.555555555555557, 
com.alibaba.com.caucho.hessian.io.BigIntegerDeserializer, 7.0, 7.0, 0.0, 15.0, 15.0, 0.0, 
com.alibaba.com.caucho.hessian.io.CalendarHandle, 0.0, 0.0, NaN, 0.0, 0.0, NaN, 
com.alibaba.com.caucho.hessian.io.CalendarSerializer, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 
com.alibaba.com.caucho.hessian.io.ClassDeserializer, 0.0, 0.0, NaN, 8.0, 8.0, 0.0, 
com.alibaba.com.caucho.hessian.io.ClassSerializer, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 
com.alibaba.com.caucho.hessian.io.CollectionDeserializer, 0.0, 0.0, NaN, 8.0, 6.0, 25.0, 
com.alibaba.com.caucho.hessian.io.CollectionSerializer, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 
com.alibaba.com.caucho.hessian.io.Deflation, 0.0, 0.0, NaN, 3.0, 2.0, 33.33333333333333, 
com.alibaba.com.caucho.hessian.io.Deserializer, 0.0, 0.0, NaN, 0.0, 0.0, NaN, 
com.alibaba.com.caucho.hessian.io.EnumDeserializer, 0.0, 0.0, NaN, 8.0, 8.0, 0.0, 
com.alibaba.com.caucho.hessian.io.EnumSerializer, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 
com.alibaba.com.caucho.hessian.io.EnumSetHandler, 0.0, 0.0, NaN, 0.0, 0.0, NaN, 
com.alibaba.com.caucho.hessian.io.EnumSetSerializer, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 
com.alibaba.com.caucho.hessian.io.EnumerationDeserializer, 0.0, 0.0, NaN, 8.0, 8.0, 0.0, 
com.alibaba.com.caucho.hessian.io.EnumerationSerializer, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 
com.alibaba.com.caucho.hessian.io.EnvelopeFactory, 0.0, 0.0, NaN, 0.0, 0.0, NaN, 
com.alibaba.com.caucho.hessian.io.ExtSerializerFactory, 0.0, 0.0, NaN, 2.0, 2.0, 0.0, 
com.alibaba.com.caucho.hessian.io.Hessian2Constants, 0.0, 0.0, NaN, 0.0, 0.0, NaN, 
com.alibaba.com.caucho.hessian.io.Hessian2EnumSetTest, 0.0, 0.0, NaN, 2.0, 1.0, 50.0, 
com.alibaba.com.caucho.hessian.io.Hessian2Input, 67.0, 66.0, 1.492537313432834, 41.0, 27.0, 34.14634146341463, 
com.alibaba.com.caucho.hessian.io.Hessian2Output, 67.0, 67.0, 0.0, 39.0, 24.0, 38.46153846153846, 
com.alibaba.com.caucho.hessian.io.Hessian2StreamingInput, 0.0, 0.0, NaN, 0.0, 0.0, NaN, 
com.alibaba.com.caucho.hessian.io.Hessian2StreamingOutput, 0.0, 0.0, NaN, 0.0, 0.0, NaN, 
com.alibaba.com.caucho.hessian.io.Hessian2StringShortTest, 0.0, 0.0, NaN, 2.0, 1.0, 50.0, 
com.alibaba.com.caucho.hessian.io.HessianDebugInputStream, 0.0, 0.0, NaN, 0.0, 0.0, NaN, 
com.alibaba.com.caucho.hessian.io.HessianDebugOutputStream, 0.0, 0.0, NaN, 0.0, 0.0, NaN, 
com.alibaba.com.caucho.hessian.io.HessianDebugState, 66.0, 66.0, 0.0, 0.0, 0.0, NaN, 
com.alibaba.com.caucho.hessian.io.HessianEnvelope, 0.0, 0.0, NaN, 0.0, 0.0, NaN, 
com.alibaba.com.caucho.hessian.io.HessianFieldException, 1.0, 1.0, 0.0, 2.0, 2.0, 0.0, 
com.alibaba.com.caucho.hessian.io.HessianHandle, 0.0, 0.0, NaN, 0.0, 0.0, NaN, 
com.alibaba.com.caucho.hessian.io.HessianInput, 1.0, 0.0, 100.0, 41.0, 31.0, 24.390243902439025, 
com.alibaba.com.caucho.hessian.io.HessianInputFactory, 0.0, 0.0, NaN, 0.0, 0.0, NaN, 
com.alibaba.com.caucho.hessian.io.HessianJavaSerializeTest, 0.0, 0.0, NaN, 2.0, 1.0, 50.0, 
com.alibaba.com.caucho.hessian.io.HessianOutput, 1.0, 0.0, 100.0, 39.0, 31.0, 20.51282051282051, 
com.alibaba.com.caucho.hessian.io.HessianProtocolException, 0.0, 0.0, NaN, 0.0, 0.0, NaN, 
com.alibaba.com.caucho.hessian.io.HessianRemote, 0.0, 0.0, NaN, 0.0, 0.0, NaN, 
com.alibaba.com.caucho.hessian.io.HessianRemoteObject, 0.0, 0.0, NaN, 0.0, 0.0, NaN, 
com.alibaba.com.caucho.hessian.io.HessianRemoteResolver, 0.0, 0.0, NaN, 0.0, 0.0, NaN, 
com.alibaba.com.caucho.hessian.io.HessianSerializerInput, 14.0, 12.0, 14.285714285714292, 62.0, 59.0, 4.838709677419359, 
com.alibaba.com.caucho.hessian.io.HessianSerializerOutput, 4.0, 4.0, 0.0, 44.0, 40.0, 9.090909090909093, 
com.alibaba.com.caucho.hessian.io.HessianServiceException, 0.0, 0.0, NaN, 0.0, 0.0, NaN, 
com.alibaba.com.caucho.hessian.io.IOExceptionWrapper, 0.0, 0.0, NaN, 0.0, 0.0, NaN, 
com.alibaba.com.caucho.hessian.io.InputStreamDeserializer, 0.0, 0.0, NaN, 8.0, 8.0, 0.0, 
com.alibaba.com.caucho.hessian.io.InputStreamSerializer, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 
com.alibaba.com.caucho.hessian.io.IteratorSerializer, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 
com.alibaba.com.caucho.hessian.io.JavaDeserializer, 0.0, 0.0, NaN, 8.0, 6.0, 25.0, 
com.alibaba.com.caucho.hessian.io.JavaSerializer, 1.0, 0.0, 100.0, 1.0, 1.0, 0.0, 
com.alibaba.com.caucho.hessian.io.LocaleHandle, 0.0, 0.0, NaN, 0.0, 0.0, NaN, 
com.alibaba.com.caucho.hessian.io.LocaleSerializer, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 
com.alibaba.com.caucho.hessian.io.MapDeserializer, 0.0, 0.0, NaN, 8.0, 6.0, 25.0, 
com.alibaba.com.caucho.hessian.io.MapSerializer, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 
com.alibaba.com.caucho.hessian.io.ObjectDeserializer, 0.0, 0.0, NaN, 8.0, 8.0, 0.0, 
com.alibaba.com.caucho.hessian.io.RemoteSerializer, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 
com.alibaba.com.caucho.hessian.io.Serializer, 0.0, 0.0, NaN, 0.0, 0.0, NaN, 
com.alibaba.com.caucho.hessian.io.SerializerFactory, 0.0, 0.0, NaN, 2.0, 1.0, 50.0, 
com.alibaba.com.caucho.hessian.io.SerializerFactoryTest, 0.0, 0.0, NaN, 0.0, 0.0, NaN, 
com.alibaba.com.caucho.hessian.io.SqlDateDeserializer, 0.0, 0.0, NaN, 8.0, 8.0, 0.0, 
com.alibaba.com.caucho.hessian.io.SqlDateSerializer, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 
com.alibaba.com.caucho.hessian.io.StackTraceElementDeserializer, 7.0, 7.0, 0.0, 15.0, 15.0, 0.0, 
com.alibaba.com.caucho.hessian.io.StringValueDeserializer, 0.0, 0.0, NaN, 8.0, 8.0, 0.0, 
com.alibaba.com.caucho.hessian.io.StringValueSerializer, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 
com.alibaba.com.caucho.hessian.io.TestClass, 0.0, 0.0, NaN, 0.0, 0.0, NaN, 
com.alibaba.com.caucho.hessian.io.ThrowableSerializer, 6.0, 6.0, 0.0, 7.0, 7.0, 0.0, 
com.alibaba.com.caucho.hessian.io.ValueDeserializer, 0.0, 0.0, NaN, 8.0, 8.0, 0.0, 
com.alibaba.com.caucho.hessian.io.base.SerializeTestBase, 0.0, 0.0, NaN, 0.0, 0.0, NaN, 
com.alibaba.com.caucho.hessian.io.beans.BaseUser, 0.0, 0.0, NaN, 0.0, 0.0, NaN, 
com.alibaba.com.caucho.hessian.io.beans.GrandsonUser, 3.0, 3.0, 0.0, 4.0, 1.0, 75.0, 
com.alibaba.com.caucho.hessian.io.beans.Hessian2StringShortType, 0.0, 0.0, NaN, 0.0, 0.0, NaN, 
com.alibaba.com.caucho.hessian.io.beans.PersonType, 0.0, 0.0, NaN, 0.0, 0.0, NaN, 
com.alibaba.com.caucho.hessian.io.beans.SubUser, 3.0, 3.0, 0.0, 4.0, 1.0, 75.0, 
com.alibaba.com.caucho.hessian.io.java8.DurationHandle, 0.0, 0.0, NaN, 0.0, 0.0, NaN, 
com.alibaba.com.caucho.hessian.io.java8.InstantHandle, 0.0, 0.0, NaN, 0.0, 0.0, NaN, 
com.alibaba.com.caucho.hessian.io.java8.Java8TimeSerializer, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 
com.alibaba.com.caucho.hessian.io.java8.Java8TimeSerializerTest, 0.0, 0.0, NaN, 0.0, 0.0, NaN, 
com.alibaba.com.caucho.hessian.io.java8.LocalDateHandle, 0.0, 0.0, NaN, 0.0, 0.0, NaN, 
com.alibaba.com.caucho.hessian.io.java8.LocalDateTimeHandle, 0.0, 0.0, NaN, 0.0, 0.0, NaN, 
com.alibaba.com.caucho.hessian.io.java8.LocalTimeHandle, 0.0, 0.0, NaN, 0.0, 0.0, NaN, 
com.alibaba.com.caucho.hessian.io.java8.MonthDayHandle, 0.0, 0.0, NaN, 0.0, 0.0, NaN, 
com.alibaba.com.caucho.hessian.io.java8.OffsetDateTimeHandle, 0.0, 0.0, NaN, 0.0, 0.0, NaN, 
com.alibaba.com.caucho.hessian.io.java8.OffsetTimeHandle, 0.0, 0.0, NaN, 0.0, 0.0, NaN, 
com.alibaba.com.caucho.hessian.io.java8.PeriodHandle, 0.0, 0.0, NaN, 0.0, 0.0, NaN, 
com.alibaba.com.caucho.hessian.io.java8.YearHandle, 0.0, 0.0, NaN, 0.0, 0.0, NaN, 
com.alibaba.com.caucho.hessian.io.java8.YearMonthHandle, 0.0, 0.0, NaN, 0.0, 0.0, NaN, 
com.alibaba.com.caucho.hessian.io.java8.ZoneIdHandle, 0.0, 0.0, NaN, 0.0, 0.0, NaN, 
com.alibaba.com.caucho.hessian.io.java8.ZoneIdSerializer, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 
com.alibaba.com.caucho.hessian.io.java8.ZoneOffsetHandle, 0.0, 0.0, NaN, 0.0, 0.0, NaN, 
com.alibaba.com.caucho.hessian.io.java8.ZonedDateTimeHandle, 0.0, 0.0, NaN, 0.0, 0.0, NaN, 
com.alibaba.com.caucho.hessian.security.X509Encryption, 0.0, 0.0, NaN, 3.0, 2.0, 33.33333333333333, 
com.alibaba.com.caucho.hessian.security.X509Signature, 0.0, 0.0, NaN, 3.0, 2.0, 33.33333333333333, 
com.alibaba.com.caucho.hessian.util.IdentityIntMap, 0.0, 0.0, NaN, 0.0, 0.0, NaN, 
com.alibaba.com.caucho.hessian.util.IntMap, 0.0, 0.0, NaN, 0.0, 0.0, NaN, 
com.alibaba.dubbo.cache.Cache, 0.0, 0.0, NaN, 0.0, 0.0, NaN, 
com.alibaba.dubbo.cache.CacheFactory, 0.0, 0.0, NaN, 0.0, 0.0, NaN, 
com.alibaba.dubbo.cache.filter.CacheFilter, 0.0, 0.0, NaN, 1.0, 1.0, 0.0, 
com.alibaba.dubbo.cache.filter.CacheFilterTest, 0.0, 0.0, NaN, 0.0, 0.0, NaN, 
com.alibaba.dubbo.cache.support.AbstractCacheFactory, 0.0, 0.0, NaN, 1.0, 1.0, 0.0, 
com.alibaba.dubbo.cache.support.jcache.JCache, 0.0, 0.0, NaN, 0.0, 0.0, NaN, 
com.alibaba.dubbo.cache.support.jcache.JCacheFactory, 1.0, 1.0, 0.0, 2.0, 2.0, 0.0, 
com.alibaba.dubbo.cache.support.lru.LruCache, 0.0, 0.0, NaN, 2.0, 2.0, 0.0, 
com.alibaba.dubbo.cache.support.lru.LruCacheFactory, 1.0, 1.0, 0.0, 2.0, 2.0, 0.0, 
com.alibaba.dubbo.cache.support.threadlocal.ThreadLocalCache, 0.0, 0.0, NaN, 2.0, 2.0, 0.0, 
com.alibaba.dubbo.cache.support.threadlocal.ThreadLocalCacheFactory, 1.0, 1.0, 0.0, 2.0, 2.0, 0.0, 
com.alibaba.dubbo.common.Constants, 0.0, 0.0, NaN, 0.0, 0.0, NaN, 
com.alibaba.dubbo.common.Node, 0.0, 0.0, NaN, 0.0, 0.0, NaN, 
com.alibaba.dubbo.common.Parameters, 0.0, 0.0, NaN, 0.0, 0.0, NaN, 
com.alibaba.dubbo.common.Resetable, 0.0, 0.0, NaN, 0.0, 0.0, NaN, 
com.alibaba.dubbo.common.URL, 0.0, 0.0, NaN, 0.0, 0.0, NaN, 
com.alibaba.dubbo.common.URLTest, 0.0, 0.0, NaN, 0.0, 0.0, NaN, 
com.alibaba.dubbo.common.Version, 0.0, 0.0, NaN, 0.0, 0.0, NaN, 
com.alibaba.dubbo.common.beanutil.Bean, 0.0, 0.0, NaN, 0.0, 0.0, NaN, 
com.alibaba.dubbo.common.beanutil.JavaBeanDescriptor, 0.0, 0.0, NaN, 0.0, 0.0, NaN, 
com.alibaba.dubbo.common.beanutil.JavaBeanSerializeUtil, 0.0, 0.0, NaN, 0.0, 0.0, NaN, 
com.alibaba.dubbo.common.beanutil.JavaBeanSerializeUtilTest, 0.0, 0.0, NaN, 0.0, 0.0, NaN, 
com.alibaba.dubbo.common.bytecode.Bean, 0.0, 0.0, NaN, 0.0, 0.0, NaN, 
com.alibaba.dubbo.common.bytecode.Builder, 0.0, 0.0, NaN, 0.0, 0.0, NaN, 
com.alibaba.dubbo.common.bytecode.ClassGenerator, 0.0, 0.0, NaN, 0.0, 0.0, NaN, 
com.alibaba.dubbo.common.bytecode.ClassGeneratorTest, 0.0, 0.0, NaN, 0.0, 0.0, NaN, 
com.alibaba.dubbo.common.bytecode.Mixin, 0.0, 0.0, NaN, 0.0, 0.0, NaN, 
com.alibaba.dubbo.common.bytecode.MixinTest, 0.0, 0.0, NaN, 0.0, 0.0, NaN, 
com.alibaba.dubbo.common.bytecode.NoSuchMethodException, 0.0, 0.0, NaN, 0.0, 0.0, NaN, 
com.alibaba.dubbo.common.bytecode.NoSuchPropertyException, 0.0, 0.0, NaN, 0.0, 0.0, NaN, 
com.alibaba.dubbo.common.bytecode.Proxy, 0.0, 0.0, NaN, 0.0, 0.0, NaN, 
com.alibaba.dubbo.common.bytecode.ProxyTest, 0.0, 0.0, NaN, 0.0, 0.0, NaN, 
com.alibaba.dubbo.common.bytecode.Wrapper, 0.0, 0.0, NaN, 0.0, 0.0, NaN, 
com.alibaba.dubbo.common.bytecode.WrapperTest, 0.0, 0.0, NaN, 0.0, 0.0, NaN, 
com.alibaba.dubbo.common.compiler.Compiler, 0.0, 0.0, NaN, 0.0, 0.0, NaN, 
com.alibaba.dubbo.common.compiler.support.AbstractCompiler, 0.0, 0.0, NaN, 1.0, 1.0, 0.0, 
com.alibaba.dubbo.common.compiler.support.AdaptiveCompiler, 0.0, 0.0, NaN, 1.0, 1.0, 0.0, 
com.alibaba.dubbo.common.compiler.support.ClassUtils, 0.0, 0.0, NaN, 0.0, 0.0, NaN, 
com.alibaba.dubbo.common.compiler.support.JavassistCompiler, 2.0, 2.0, 0.0, 2.0, 2.0, 0.0, 
com.alibaba.dubbo.common.compiler.support.JdkCompiler, 2.0, 2.0, 0.0, 2.0, 2.0, 0.0, 
com.alibaba.dubbo.common.compiler.support.JdkCompilerTest, 0.0, 0.0, NaN, 0.0, 0.0, NaN, 
com.alibaba.dubbo.common.concurrent.ExecutionList, 0.0, 0.0, NaN, 0.0, 0.0, NaN, 
com.alibaba.dubbo.common.concurrent.ListenableFuture, 0.0, 0.0, NaN, 0.0, 0.0, NaN, 
com.alibaba.dubbo.common.concurrent.ListenableFutureTask, 0.0, 0.0, NaN, 1.0, 1.0, 0.0, 
com.alibaba.dubbo.common.extension.ExtensionFactory, 0.0, 0.0, NaN, 0.0, 0.0, NaN, 
com.alibaba.dubbo.common.extension.ExtensionLoader, 0.0, 0.0, NaN, 0.0, 0.0, NaN, 
com.alibaba.dubbo.common.extension.factory.AdaptiveExtensionFactory, 0.0, 0.0, NaN, 1.0, 1.0, 0.0, 
com.alibaba.dubbo.common.extension.factory.SpiExtensionFactory, 0.0, 0.0, NaN, 1.0, 1.0, 0.0, 
com.alibaba.dubbo.common.extension.support.ActivateComparator, 0.0, 0.0, NaN, 0.0, 0.0, NaN, 
com.alibaba.dubbo.common.extensionloader.ExtensionLoaderTest, 0.0, 0.0, NaN, 0.0, 0.0, NaN, 
com.alibaba.dubbo.common.extensionloader.ExtensionLoader_Adaptive_Test, 0.0, 0.0, NaN, 0.0, 0.0, NaN, 
com.alibaba.dubbo.common.extensionloader.ExtensionLoader_Adaptive_UseJdkCompiler_Test, 0.0, 0.0, NaN, 15.0, 15.0, 0.0, 
com.alibaba.dubbo.common.extensionloader.ExtensionLoader_Compatible_Test, 0.0, 0.0, NaN, 0.0, 0.0, NaN, 
com.alibaba.dubbo.common.extensionloader.NoSpiExt, 0.0, 0.0, NaN, 0.0, 0.0, NaN, 
com.alibaba.dubbo.common.extensionloader.activate.ActivateExt1, 0.0, 0.0, NaN, 0.0, 0.0, NaN, 
com.alibaba.dubbo.common.extensionloader.activate.impl.ActivateExt1Impl1, 0.0, 0.0, NaN, 1.0, 1.0, 0.0, 
com.alibaba.dubbo.common.extensionloader.activate.impl.GroupActivateExtImpl, 0.0, 0.0, NaN, 1.0, 1.0, 0.0, 
com.alibaba.dubbo.common.extensionloader.activate.impl.OrderActivateExtImpl1, 0.0, 0.0, NaN, 1.0, 1.0, 0.0, 
com.alibaba.dubbo.common.extensionloader.activate.impl.OrderActivateExtImpl2, 0.0, 0.0, NaN, 1.0, 1.0, 0.0, 
com.alibaba.dubbo.common.extensionloader.activate.impl.ValueActivateExtImpl, 0.0, 0.0, NaN, 1.0, 1.0, 0.0, 
com.alibaba.dubbo.common.extensionloader.adaptive.HasAdaptiveExt, 0.0, 0.0, NaN, 0.0, 0.0, NaN, 
com.alibaba.dubbo.common.extensionloader.adaptive.impl.HasAdaptiveExtImpl1, 0.0, 0.0, NaN, 1.0, 1.0, 0.0, 
com.alibaba.dubbo.common.extensionloader.adaptive.impl.HasAdaptiveExt_ManualAdaptive, 0.0, 0.0, NaN, 1.0, 1.0, 0.0, 
com.alibaba.dubbo.common.extensionloader.compatible.CompatibleExt, 0.0, 0.0, NaN, 0.0, 0.0, NaN, 
com.alibaba.dubbo.common.extensionloader.compatible.impl.CompatibleExtImpl1, 0.0, 0.0, NaN, 1.0, 1.0, 0.0, 
com.alibaba.dubbo.common.extensionloader.compatible.impl.CompatibleExtImpl2, 0.0, 0.0, NaN, 1.0, 1.0, 0.0, 
com.alibaba.dubbo.common.extensionloader.ext1.SimpleExt, 0.0, 0.0, NaN, 0.0, 0.0, NaN, 
com.alibaba.dubbo.common.extensionloader.ext1.impl.SimpleExtImpl1, 0.0, 0.0, NaN, 3.0, 3.0, 0.0, 
com.alibaba.dubbo.common.extensionloader.ext1.impl.SimpleExtImpl2, 0.0, 0.0, NaN, 3.0, 3.0, 0.0, 
com.alibaba.dubbo.common.extensionloader.ext1.impl.SimpleExtImpl3, 0.0, 0.0, NaN, 3.0, 3.0, 0.0, 
com.alibaba.dubbo.common.extensionloader.ext2.Ext2, 0.0, 0.0, NaN, 0.0, 0.0, NaN, 
com.alibaba.dubbo.common.extensionloader.ext2.UrlHolder, 0.0, 0.0, NaN, 0.0, 0.0, NaN, 
com.alibaba.dubbo.common.extensionloader.ext2.impl.Ext2Impl1, 0.0, 0.0, NaN, 2.0, 2.0, 0.0, 
com.alibaba.dubbo.common.extensionloader.ext2.impl.Ext2Impl2, 0.0, 0.0, NaN, 2.0, 2.0, 0.0, 
com.alibaba.dubbo.common.extensionloader.ext2.impl.Ext2Impl3, 0.0, 0.0, NaN, 2.0, 2.0, 0.0, 
com.alibaba.dubbo.common.extensionloader.ext3.UseProtocolKeyExt, 0.0, 0.0, NaN, 0.0, 0.0, NaN, 
com.alibaba.dubbo.common.extensionloader.ext3.impl.UseProtocolKeyExtImpl1, 0.0, 0.0, NaN, 2.0, 2.0, 0.0, 
com.alibaba.dubbo.common.extensionloader.ext3.impl.UseProtocolKeyExtImpl2, 0.0, 0.0, NaN, 2.0, 2.0, 0.0, 
com.alibaba.dubbo.common.extensionloader.ext3.impl.UseProtocolKeyExtImpl3, 0.0, 0.0, NaN, 2.0, 2.0, 0.0, 
com.alibaba.dubbo.common.extensionloader.ext4.NoUrlParamExt, 0.0, 0.0, NaN, 0.0, 0.0, NaN, 
com.alibaba.dubbo.common.extensionloader.ext4.impl.Ext4Impl1, 0.0, 0.0, NaN, 1.0, 1.0, 0.0, 
com.alibaba.dubbo.common.extensionloader.ext4.impl.Ext4Impl2, 0.0, 0.0, NaN, 1.0, 1.0, 0.0, 
com.alibaba.dubbo.common.extensionloader.ext5.NoAdaptiveMethodExt, 0.0, 0.0, NaN, 0.0, 0.0, NaN, 
com.alibaba.dubbo.common.extensionloader.ext5.impl.Ext5Impl1, 0.0, 0.0, NaN, 1.0, 1.0, 0.0, 
com.alibaba.dubbo.common.extensionloader.ext5.impl.Ext5Impl2, 0.0, 0.0, NaN, 1.0, 1.0, 0.0, 
com.alibaba.dubbo.common.extensionloader.ext6_inject.Dao, 0.0, 0.0, NaN, 0.0, 0.0, NaN, 
com.alibaba.dubbo.common.extensionloader.ext6_inject.Ext6, 0.0, 0.0, NaN, 0.0, 0.0, NaN, 
com.alibaba.dubbo.common.extensionloader.ext6_inject.impl.DaoImpl, 0.0, 0.0, NaN, 1.0, 1.0, 0.0, 
com.alibaba.dubbo.common.extensionloader.ext6_inject.impl.Ext6Impl1, 0.0, 0.0, NaN, 1.0, 1.0, 0.0, 
com.alibaba.dubbo.common.extensionloader.ext6_inject.impl.Ext6Impl2, 0.0, 0.0, NaN, 1.0, 1.0, 0.0, 
com.alibaba.dubbo.common.extensionloader.ext6_wrap.WrappedExt, 0.0, 0.0, NaN, 0.0, 0.0, NaN, 
com.alibaba.dubbo.common.extensionloader.ext6_wrap.impl.Ext5Impl1, 0.0, 0.0, NaN, 1.0, 1.0, 0.0, 
com.alibaba.dubbo.common.extensionloader.ext6_wrap.impl.Ext5Impl2, 0.0, 0.0, NaN, 1.0, 1.0, 0.0, 
com.alibaba.dubbo.common.extensionloader.ext6_wrap.impl.Ext5Wrapper1, 0.0, 0.0, NaN, 1.0, 1.0, 0.0, 
com.alibaba.dubbo.common.extensionloader.ext6_wrap.impl.Ext5Wrapper2, 0.0, 0.0, NaN, 1.0, 1.0, 0.0, 
com.alibaba.dubbo.common.extensionloader.ext7.InitErrorExt, 0.0, 0.0, NaN, 0.0, 0.0, NaN, 
com.alibaba.dubbo.common.extensionloader.ext7.impl.Ext7Impl, 0.0, 0.0, NaN, 1.0, 1.0, 0.0, 
com.alibaba.dubbo.common.extensionloader.ext7.impl.Ext7InitErrorImpl, 0.0, 0.0, NaN, 1.0, 1.0, 0.0, 
com.alibaba.dubbo.common.extensionloader.ext8_add.AddExt1, 0.0, 0.0, NaN, 0.0, 0.0, NaN, 
com.alibaba.dubbo.common.extensionloader.ext8_add.AddExt2, 0.0, 0.0, NaN, 0.0, 0.0, NaN, 
com.alibaba.dubbo.common.extensionloader.ext8_add.AddExt3, 0.0, 0.0, NaN, 0.0, 0.0, NaN, 
com.alibaba.dubbo.common.extensionloader.ext8_add.AddExt4, 0.0, 0.0, NaN, 0.0, 0.0, NaN, 
com.alibaba.dubbo.common.extensionloader.ext8_add.impl.AddExt1Impl1, 0.0, 0.0, NaN, 1.0, 1.0, 0.0, 
