Class Name,Inherited Attributes,Unused Attributes,Used Attributes Percentage,Inherited Methods,Unused Methods,Used Methods Percentage
com.alibaba.dubbo.common.extension.support.ActivateComparator, 0.0, 0.0, NaN, 0.0, 0.0, NaN, 
com.alibaba.dubbo.common.extensionloader.ExtensionLoaderTest, 0.0, 0.0, NaN, 0.0, 0.0, NaN, 
com.alibaba.dubbo.common.extensionloader.ExtensionLoader_Adaptive_Test, 0.0, 0.0, NaN, 0.0, 0.0, NaN, 
com.alibaba.dubbo.common.extensionloader.ExtensionLoader_Adaptive_UseJdkCompiler_Test, 0.0, 0.0, NaN, 15.0, 15.0, 0.0, 
com.alibaba.dubbo.common.extensionloader.ExtensionLoader_Compatible_Test, 0.0, 0.0, NaN, 0.0, 0.0, NaN, 
com.alibaba.dubbo.common.extensionloader.NoSpiExt, 0.0, 0.0, NaN, 0.0, 0.0, NaN, 
com.alibaba.dubbo.common.extensionloader.activate.ActivateExt1, 0.0, 0.0, NaN, 0.0, 0.0, NaN, 
com.alibaba.dubbo.common.extensionloader.activate.impl.ActivateExt1Impl1, 0.0, 0.0, NaN, 1.0, 1.0, 0.0, 
com.alibaba.dubbo.common.extensionloader.activate.impl.GroupActivateExtImpl, 0.0, 0.0, NaN, 1.0, 1.0, 0.0, 
com.alibaba.dubbo.common.extensionloader.activate.impl.OrderActivateExtImpl1, 0.0, 0.0, NaN, 1.0, 1.0, 0.0, 
com.alibaba.dubbo.common.extensionloader.activate.impl.OrderActivateExtImpl2, 0.0, 0.0, NaN, 1.0, 1.0, 0.0, 
com.alibaba.dubbo.common.extensionloader.activate.impl.ValueActivateExtImpl, 0.0, 0.0, NaN, 1.0, 1.0, 0.0, 
com.alibaba.dubbo.common.extensionloader.adaptive.HasAdaptiveExt, 0.0, 0.0, NaN, 0.0, 0.0, NaN, 
com.alibaba.dubbo.common.extensionloader.adaptive.impl.HasAdaptiveExtImpl1, 0.0, 0.0, NaN, 1.0, 1.0, 0.0, 
com.alibaba.dubbo.common.extensionloader.adaptive.impl.HasAdaptiveExt_ManualAdaptive, 0.0, 0.0, NaN, 1.0, 1.0, 0.0, 
com.alibaba.dubbo.common.extensionloader.compatible.CompatibleExt, 0.0, 0.0, NaN, 0.0, 0.0, NaN, 
com.alibaba.dubbo.common.extensionloader.compatible.impl.CompatibleExtImpl1, 0.0, 0.0, NaN, 1.0, 1.0, 0.0, 
com.alibaba.dubbo.common.extensionloader.compatible.impl.CompatibleExtImpl2, 0.0, 0.0, NaN, 1.0, 1.0, 0.0, 
com.alibaba.dubbo.common.extensionloader.ext1.SimpleExt, 0.0, 0.0, NaN, 0.0, 0.0, NaN, 
com.alibaba.dubbo.common.extensionloader.ext1.impl.SimpleExtImpl1, 0.0, 0.0, NaN, 3.0, 3.0, 0.0, 
com.alibaba.dubbo.common.extensionloader.ext1.impl.SimpleExtImpl2, 0.0, 0.0, NaN, 3.0, 3.0, 0.0, 
com.alibaba.dubbo.common.extensionloader.ext1.impl.SimpleExtImpl3, 0.0, 0.0, NaN, 3.0, 3.0, 0.0, 
com.alibaba.dubbo.common.extensionloader.ext2.Ext2, 0.0, 0.0, NaN, 0.0, 0.0, NaN, 
com.alibaba.dubbo.common.extensionloader.ext2.UrlHolder, 0.0, 0.0, NaN, 0.0, 0.0, NaN, 
com.alibaba.dubbo.common.extensionloader.ext2.impl.Ext2Impl1, 0.0, 0.0, NaN, 2.0, 2.0, 0.0, 
com.alibaba.dubbo.common.extensionloader.ext2.impl.Ext2Impl2, 0.0, 0.0, NaN, 2.0, 2.0, 0.0, 
com.alibaba.dubbo.common.extensionloader.ext2.impl.Ext2Impl3, 0.0, 0.0, NaN, 2.0, 2.0, 0.0, 
com.alibaba.dubbo.common.extensionloader.ext3.UseProtocolKeyExt, 0.0, 0.0, NaN, 0.0, 0.0, NaN, 
com.alibaba.dubbo.common.extensionloader.ext3.impl.UseProtocolKeyExtImpl1, 0.0, 0.0, NaN, 2.0, 2.0, 0.0, 
com.alibaba.dubbo.common.extensionloader.ext3.impl.UseProtocolKeyExtImpl2, 0.0, 0.0, NaN, 2.0, 2.0, 0.0, 
com.alibaba.dubbo.common.extensionloader.ext3.impl.UseProtocolKeyExtImpl3, 0.0, 0.0, NaN, 2.0, 2.0, 0.0, 
com.alibaba.dubbo.common.extensionloader.ext4.NoUrlParamExt, 0.0, 0.0, NaN, 0.0, 0.0, NaN, 
com.alibaba.dubbo.common.extensionloader.ext4.impl.Ext4Impl1, 0.0, 0.0, NaN, 1.0, 1.0, 0.0, 
com.alibaba.dubbo.common.extensionloader.ext4.impl.Ext4Impl2, 0.0, 0.0, NaN, 1.0, 1.0, 0.0, 
com.alibaba.dubbo.common.extensionloader.ext5.NoAdaptiveMethodExt, 0.0, 0.0, NaN, 0.0, 0.0, NaN, 
com.alibaba.dubbo.common.extensionloader.ext5.impl.Ext5Impl1, 0.0, 0.0, NaN, 1.0, 1.0, 0.0, 
com.alibaba.dubbo.common.extensionloader.ext5.impl.Ext5Impl2, 0.0, 0.0, NaN, 1.0, 1.0, 0.0, 
com.alibaba.dubbo.common.extensionloader.ext6_inject.Dao, 0.0, 0.0, NaN, 0.0, 0.0, NaN, 
com.alibaba.dubbo.common.extensionloader.ext6_inject.Ext6, 0.0, 0.0, NaN, 0.0, 0.0, NaN, 
com.alibaba.dubbo.common.extensionloader.ext6_inject.impl.DaoImpl, 0.0, 0.0, NaN, 1.0, 1.0, 0.0, 
